CO_PROCEDIMENTO,CO_CID,ST_PRINCIPAL,DT_COMPETENCIA
0201010305,M002,S,202306
0201010305,M008,S,202306
0201010305,M009,S,202306
0201010305,M011,S,202306
0201010305,M013,S,202306
0201010305,M016,S,202306
0201010305,M018,S,202306
0201010305,M031,S,202306
0201010305,M053,S,202306
0201010305,M058,S,202306
0201010305,M059,S,202306
0201010305,M060,S,202306
0201010305,M061,S,202306
0201010305,M062,S,202306
0201010305,M064,S,202306
0201010305,M068,S,202306
0201010305,M069,S,202306
0201010305,M070,S,202306
0201010305,M071,S,202306
0201010305,M072,S,202306
0201010305,M073,S,202306
0201010305,M074,S,202306
0201010305,M075,S,202306
0201010305,M076,S,202306
0201010305,M080,S,202306
0201010305,M081,S,202306
0201010305,M082,S,202306
0201010305,M083,S,202306
0201010305,M084,S,202306
0201010305,M088,S,202306
0201010305,M089,S,202306
0201010305,M090,S,202306
0201010305,M091,S,202306
0201010305,M092,S,202306
0201010305,M098,S,202306
0201010305,M100,S,202306
0201010305,M101,S,202306
0201010305,M102,S,202306
0201010305,M103,S,202306
0201010305,M104,S,202306
0201010305,M109,S,202306
0201010305,M110,S,202306
0201010305,M111,S,202306
0201010305,M112,S,202306
0201010305,M118,S,202306
0201010305,M119,S,202306
0201010305,M120,S,202306
0201010305,M121,S,202306
0201010305,M122,S,202306
0201010305,M123,S,202306
0201010305,M124,S,202306
0201010305,M125,S,202306
0201010305,M128,S,202306
0201010305,M130,S,202306
0201010305,M131,S,202306
0201010305,M138,S,202306
0201010305,M139,S,202306
0201010305,M140,S,202306
0201010305,M141,S,202306
0201010305,M142,S,202306
0201010305,M143,S,202306
0201010305,M144,S,202306
0201010305,M145,S,202306
0201010305,M146,S,202306
0201010305,M148,S,202306
0201010305,M400,S,202306
0201010305,M841,S,202306
0201010305,M850,S,202306
0201010305,M862,S,202306
0201010305,M863,S,202306
0201010305,M864,S,202306
0201010305,M865,S,202306
0201010305,M866,S,202306
0201010305,M868,S,202306
0201010305,M869,S,202306
0201010305,M925,S,202306
0201010305,M926,S,202306
0201010305,P369,S,202306
0201010313,C401,S,202306
0201010313,C402,S,202306
0201010313,C408,S,202306
0201010313,C409,S,202306
0201010313,C414,S,202306
0201010313,C419,S,202306
0201010313,C767,S,202306
0201010313,C80,S,202306
0201010313,C900,S,202306
0201010313,D162,S,202306
0201010313,D168,S,202306
0201010313,D169,S,202306
0201010313,D480,S,202306
0201010313,D489,S,202306
0201010313,M000,S,202306
0201010313,M001,S,202306
0201010313,M002,S,202306
0201010313,M008,S,202306
0201010313,M009,S,202306
0201010313,M058,S,202306
0201010313,M059,S,202306
0201010313,M060,S,202306
0201010313,M068,S,202306
0201010313,M069,S,202306
0201010313,M080,S,202306
0201010313,M081,S,202306
0201010313,M082,S,202306
0201010313,M083,S,202306
0201010313,M084,S,202306
0201010313,M088,S,202306
0201010313,M089,S,202306
0201010313,M109,S,202306
0201010313,M122,S,202306
0201010313,M130,S,202306
0201010313,M131,S,202306
0201010313,M45,S,202306
0201010313,M860,S,202306
0201010313,M861,S,202306
0201010313,M862,S,202306
0201010313,M863,S,202306
0201010313,M864,S,202306
0201010313,M865,S,202306
0201010313,M866,S,202306
0201010313,M868,S,202306
0201010313,M869,S,202306
0201010321,C401,S,202306
0201010321,C402,S,202306
0201010321,C403,S,202306
0201010321,C408,S,202306
0201010321,C409,S,202306
0201010321,C418,S,202306
0201010321,C795,S,202306
0201010321,C80,S,202306
0201010321,D162,S,202306
0201010321,D163,S,202306
0201010321,D480,S,202306
0201010321,D489,S,202306
0201010321,M000,S,202306
0201010321,M001,S,202306
0201010321,M002,S,202306
0201010321,M008,S,202306
0201010321,M009,S,202306
0201010321,M010,S,202306
0201010321,M011,S,202306
0201010321,M012,S,202306
0201010321,M013,S,202306
0201010321,M014,S,202306
0201010321,M015,S,202306
0201010321,M016,S,202306
0201010321,M018,S,202306
0201010321,M020,S,202306
0201010321,M021,S,202306
0201010321,M022,S,202306
0201010321,M023,S,202306
0201010321,M028,S,202306
0201010321,M029,S,202306
0201010321,M030,S,202306
0201010321,M031,S,202306
0201010321,M032,S,202306
0201010321,M036,S,202306
0201010321,M050,S,202306
0201010321,M051,S,202306
0201010321,M052,S,202306
0201010321,M053,S,202306
